State,"Baked goods, cereals, and pasta",Beef and beef products,Beer,Chocolate and cocoa products,Coarse grains (including corn),Cocoa beans,Cocoa paste and cocoa butter,"Coffee, unroasted",Condiments and sauces,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Dog and cat food,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit - avocados,Fresh fruit - bananas,Fresh fruit - berries,Fresh fruit - other,Fresh vegetables,Fruit and vegetable juices,Industrial alcohols and fatty acids,Live animals,Mfg. tobacco,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseed meal and cake,Oilseeds,Other feeds and grain products,Other livestock products,Other meat products,Planting seeds,Pork and pork products,Poultry products and eggs,Processed fruit and vegetables,Pulses,Raw beet and cane sugar,Rice,Roasted and instant coffee,Spices,"Sugars, sweeteners, bev. bases",Tea,"Tobacco, unmanufactured",Tree nuts,Vegetable oils,Wheat,Wine and related products,Yeast and baking powder
AK,0.0,0.0,98756.0,1004456.0,0.0,0.0,0.0,0.0,104276.0,16482184.0,51120.0,0.0,16639712.0,914608.0,0.0,16482184.0,0.0,0.0,0.0,78792.0,0.0,16482184.0,2446320.0,268656572.0,0.0,18049028.0,7547132.0,0.0,0.0,18474448.0,144676.0,265760808.0,4795396.0,125860.0,0.0,16662736.0,22328.0,0.0,118340.0,0.0,66240.0,18052276.0,16482184.0,0.0,0.0,844536.0,427116.0,85608.0,135924.0
AL,114688928.0,24133620.0,832252.0,9656308.0,1770684.0,0.0,0.0,557044.0,9831848.0,28890240.0,411480.0,1391048.0,23331816.0,2224956.0,0.0,17197180.0,0.0,12302356.0,134464.0,488172.0,25238280.0,29664628.0,10884828.0,2080649708.0,0.0,28320156.0,14860316.0,0.0,19280.0,15440740.0,45616552.0,1930647312.0,9990992.0,823788.0,152064.0,150985740.0,320320.0,15866868.0,27332.0,1262664.0,35667772.0,40529260.0,32277744.0,12018224.0,37574776.0,474622156.0,136412.0,122786012.0,8741064.0
AR,62457580.0,14678900.0,706752.0,14771844.0,1345732.0,0.0,0.0,5356832.0,16425024.0,51079884.0,11151772.0,425224372.0,28796980.0,1374672.0,7841532.0,33682868.0,79606768.0,3669128.0,1079044.0,3165404.0,23670476.0,55008536.0,0.0,1568823388.0,0.0,50406360.0,11793308.0,0.0,1857280.0,40674204.0,63334368.0,1400325332.0,13214940.0,27523776.0,2742204.0,197206388.0,4192076.0,0.0,39324108.0,6151044.0,9388.0,69595612.0,34156148.0,0.0,15508908.0,54885380.0,0.0,36964732.0,17148580.0
AZ,316786724.0,435383524.0,58403676.0,103437640.0,8758912.0,442908.0,194748.0,2747108.0,28197384.0,155213544.0,11237140.0,261658412.0,74010680.0,47300320.0,27701852.0,79385400.0,79830668.0,47478280.0,142294116.0,2971053912.0,7752993872.0,88658232.0,443304.0,11741589260.0,1915288.0,97489796.0,67935956.0,20696560.0,14609192.0,53287336.0,37449820.0,10692775072.0,120734896.0,152293112.0,10530348.0,971530240.0,44818360.0,3774408.0,768840.0,11745364.0,230405064.0,283847404.0,284195136.0,9232.0,51254840.0,79853916.0,332232.0,135196640.0,28192152.0
CA,7457084892.0,10180501380.0,963471500.0,937324508.0,149432676.0,104162988.0,297361904.0,2636300076.0,1803286072.0,5382469376.0,895524236.0,5790154812.0,1559718072.0,265208068.0,889773224.0,2706867384.0,5672223944.0,1404591856.0,9340808984.0,7459291204.0,10375226788.0,4166010648.0,513501100.0,43379180928.0,203297564.0,6817677920.0,1710036660.0,2226138676.0,447638088.0,1853324164.0,1301589364.0,42941043900.0,2290389616.0,1258046280.0,602645596.0,14751960080.0,393212440.0,1447158800.0,1370635068.0,1102523184.0,2197663372.0,3228637452.0,3570762852.0,3590432.0,4048987928.0,5900118380.0,6059312.0,6131153968.0,1635443840.0
CO,244992548.0,253226112.0,9960788.0,92001568.0,59641696.0,158708.0,10700.0,29111128.0,10595832.0,77002024.0,7432920.0,290588600.0,31973760.0,3731192.0,277592.0,40118824.0,0.0,0.0,2333236.0,8407072.0,59497196.0,59233060.0,957088.0,1468533424.0,41908.0,57524488.0,44437248.0,34288632.0,19672560.0,102615552.0,70066892.0,1247248836.0,70906904.0,11387408.0,904820.0,171714860.0,15784984.0,653276.0,5948568.0,4428444.0,169180048.0,62668576.0,79373664.0,104184.0,29869800.0,84779872.0,27366212.0,263602420.0,8131236.0
CT,269631580.0,88329108.0,18088452.0,35884144.0,10097588.0,98552.0,211072.0,171648868.0,51342420.0,79724368.0,18084504.0,398495756.0,10650052.0,21808988.0,78836460.0,59104908.0,340000.0,1605808.0,1299512.0,3918572.0,218381296.0,98464460.0,12011240.0,5140968140.0,1309644.0,73051352.0,105327676.0,256744.0,6703296.0,48934316.0,118579596.0,5085345324.0,45000936.0,38478192.0,20686176.0,433208720.0,6577884.0,97658396.0,35625740.0,73788172.0,4152348.0,491576276.0,82386920.0,3627880.0,149249192.0,157322528.0,0.0,709401176.0,33459408.0
DC,4186200.0,35646744.0,678980.0,3619548.0,1768708.0,0.0,0.0,681056.0,454316.0,1817272.0,10471080.0,46233524.0,35944.0,2354380.0,0.0,1332940.0,0.0,0.0,0.0,493080.0,1691016.0,3532796.0,0.0,114177460.0,0.0,1366832.0,3947916.0,455056.0,241052.0,461864.0,408644.0,111361460.0,1985604.0,1906120.0,0.0,6895796.0,674184.0,94756.0,2484876.0,32000.0,3042492.0,1170448.0,1284220.0,0.0,672880.0,816404.0,0.0,72382408.0,383324.0
DE,52917084.0,23375304.0,2662916.0,19231564.0,1493748.0,70275332.0,56783192.0,739824.0,31623156.0,85144544.0,48170548.0,88403932.0,43932336.0,4875072.0,478408.0,30769044.0,409600.0,1336279332.0,20174092.0,813851288.0,67301888.0,545259400.0,56297240.0,792922004.0,0.0,67109808.0,11234452.0,184922060.0,64304.0,142075508.0,29174712.0,778490560.0,20033768.0,303925396.0,7768404.0,2014060708.0,16549400.0,146736.0,118252.0,935604.0,7962924.0,31082268.0,30666996.0,1134300.0,110230684.0,45623416.0,0.0,47994292.0,31436484.0
FL,1719124944.0,1207139968.0,720333020.0,177575856.0,43233248.0,904596.0,10772364.0,718551420.0,223523264.0,1437533896.0,76275360.0,6345941652.0,205164228.0,704558272.0,43838164.0,642184008.0,1144309840.0,4392074036.0,2258699948.0,3093703940.0,4213633692.0,3093592360.0,31230540.0,15425336848.0,5281919284.0,2032216536.0,6067591764.0,93590132.0,33168876.0,408614204.0,237417044.0,14550807852.0,590537108.0,324399036.0,141454076.0,8372646368.0,71926088.0,218816704.0,204144764.0,1129810832.0,587158176.0,1107177124.0,853941448.0,62137868.0,759607820.0,381176048.0,1411752.0,2098749800.0,199668084.0
